address,lat,long,app_comment,damage,app_estimate,safe_to_live,utils_on,insured,est_home_value
"515 Priscilla St,Salisbury,MD,21804",38.3775968,-75.58164800000002,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",0,165000,1,3,1,327000
"515 Robinson St,Salisbury,MD,21801",38.3956535,-75.6025767,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",3,77000,2,1,2,515000
"515 Sandyhill Dr,Ocean City,MD,21842",38.440619,-75.0670731,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",2,274000,2,1,2,521000
"5155 Sudley Rd,West River,MD,20778",38.8256951,-76.58278800000001,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",3,43000,2,2,2,505000
"516 Park Manor Cir,Bel Air,MD,21014",39.5289062,-76.3554292,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",2,83000,1,2,2,404000
"517 Oella Ave,Ellicott City,MD,21043",39.2745811,-76.78403159999999,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",2,279000,1,2,2,480000
"517 Old Pasture Ln,Severna Park,MD,21146",39.087029,-76.59261900000001,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",1,245000,2,2,1,413000
"518 Schoolhouse Rd,Sykesville,MD,21784",39.3643761,-76.97514919999999,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",3,118000,1,2,1,506000
"519 Eisenhower Dr,Frederick,MD,21703",39.4080303,-77.4412541,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",0,78000,2,3,1,309000
"26300 Howard Chapel Dr,Damascus,MD,20872",39.2885939,-77.19593979999999,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",1,136000,1,1,1,455000
"2631 E West Hwy,Chevy Chase,MD,20815",38.992846,-77.0557043,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",2,152000,2,3,0,578000
"26330 Williamsburg Rd,Federalsburg,MD,21632",38.689008,-75.7935358,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",0,239000,2,1,1,420000
"2637 Barred Owl Way,Odenton,MD,21113",39.053923,-76.703581,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",1,258000,2,1,2,486000
"264 Lake Riviera Rd,Pasadena,MD,21122",39.16542,-76.50470299999999,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",1,216000,1,3,0,387000
