id,address,lat,long
0,"500 C St SW, Washington, DC",38.88549099999999,-77.0187861
1,"5819 Whipoorwill Dr, Deale, MD",38.7884315,-76.5512246
2,"822 Mason Ave, Deale, MD",38.776006,-76.54778
3,"6347 Genoa Rd, Tracys Landing, MD",38.759275,-76.559654
4,"719 Walnut Ave, North Beach, MD",38.7269161,-76.5329438
5,"8326 Bayside Rd, Chesapeake Beach, MD",38.6970274,-76.5342167
6,"4908 King Patrick Way, Upper Marlboro, MD",38.825238,-76.76786
7,"4002 Fox Gate Ln, Upper Marlboro, MD",38.8343832,-76.7822963
8,"8630 Fort Foote Rd, Fort Washington, MD",38.77052,-77.01900499999999
9,"11400 Riverview Rd, Fort Washington, MD",38.7325488,-77.02417369999999
10,"3808 Dunlap St, Temple Hills, MD",38.8376682,-76.9621682
11,"1202 I St, Alexandria, VA 22307",38.7765932,-77.052826
